_id,value
ERC-SG-LS7,106
ERC-SG-LS8,68
ERC-SG-LS9,53
ERC-SG-PE1,122
ERC-SG-PE10,67
ERC-SG-PE2,126
ERC-SG-PE3,117
ERC-SG-PE4,105
ERC-SG-PE5,132
ERC-SG-PE6,128
ERC-SG-PE7,74
ERC-SG-PE8,93
ERC-SG-PE9,64
ERC-SG-SH1,78
ERC-SG-SH2,108
ERC-SG-SH3,54
ERC-SG-SH4,94
ERC-SG-SH5,42
ERC-SG-SH6,57
EeB-ENERGY.2010.8.1-2,2
EeB-ICT-2010.10.2,6
EeB-NMP.2011-1,3
EeB.ENERGY.2011.8.1-1,5
EeB.ENV.2010.3.2.4-1,1
EeB.ENV.2011.3.1.5-1,2
EeB.ENV.2011.3.1.5-2,1
EeB.ENV.2012.6.6-2,1
EeB.ENV.2013.6.3-4,2
EeB.NMP.2010-1,6
EeB.NMP.2010-2,2
EeB.NMP.2011-2,2
EeB.NMP.2011-3,3
EeB.NMP.2011-4,1
EeB.NMP.2012-1,2
EeB.NMP.2012-2,3
EeB.NMP.2012-3,3
EeB.NMP.2012-4,3
EeB.NMP.2012-5,4
EeB.NMP.2012-6,2
EeB.NMP.2013-1,5
EeB.NMP.2013-2,4
EeB.NMP.2013-3,3
EeB.NMP.2013-4,3
EeB.NMP.2013-5,4
EeB.NMP.2013-6,2
FI.ICT-2011.1.10,1
FI.ICT-2011.1.7,1
FI.ICT-2011.1.8,13
FI.ICT-2011.1.9,2
FI.ICT-2013.1.9,5
FP7-2008-PEOPLE-NIGHT,41
FP7-CDRP-2013-EUR-CD,2
FP7-CDRP-2013-INCUBATORS,2
FP7-ENVIRONMENT,5
FP7-IDEAS-ERC,2
FP7-PEOPLE-2009-EURAXESS,1
FP7-PEOPLE-2009-IAPP,64
FP7-PEOPLE-2009-IEF,578
FP7-PEOPLE-2009-IIF,173
FP7-PEOPLE-2009-IOF,124
FP7-PEOPLE-2009-IRSES,111
FP7-PEOPLE-2009-NIGHT,94
FP7-PEOPLE-2009-RG,860
