_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-ENVIRONMENT,2018,11,1.19237156e+08,1.0839741454545455e+07,3.0593183323550527e+06,4.253675e+06,1.6296451e+07,8.6861606e+07,7.896509636363637e+06,2.7781560747048254e+06,2.996867e+06,1.1988935e+07,,FP7-ENVIRONMENT,"Programme spécifique ""Coopération"": Environnement (y compris les changements climatiques)",Environnement (y compris les changements climatiques)
FP7-GA,2013,11,3.38455714e+08,3.0768701272727273e+07,7.914877478837344e+07,289161,2.80086352e+08,2.74423146e+08,2.4947558727272727e+07,7.118874898941782e+07,203750,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-REGPOT,2019,11,2.994668e+07,2.7224254545454546e+06,155019.3156254252,2.396248e+06,2.938487e+06,2.3879505e+07,2.170864090909091e+06,162222.3036764138,1.842818e+06,2.378334e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-REGPOT,2018,11,2.994668e+07,2.7224254545454546e+06,155019.3156254252,2.396248e+06,2.938487e+06,2.3879505e+07,2.170864090909091e+06,162222.3036764138,1.842818e+06,2.378334e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-ICT,2018,9,8.3047699e+07,9.227522111111112e+06,6.352298044839546e+06,3.342623e+06,2.5614056e+07,6.181163e+07,6.867958888888889e+06,4.827908134059845e+06,2.555978e+06,1.975e+07,,FP7-ICT,"Programme spécifique ""Coopération"":  Technologies de l’information et de la communication",Technologies de l'information et de la communication
FP7-GA,2008,9,3.97126955e+08,4.4125217222222224e+07,8.578233292502445e+07,107754,2.80086352e+08,2.88025965e+08,3.2002885e+07,7.73256714879648e+07,95186,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-SSH,2018,8,5.5199149e+07,6.899893625e+06,4.602607716732547e+06,3.169529e+06,1.8181819e+07,3.4944551e+07,4.368068875e+06,1.5387491885871491e+06,2.467861e+06,6.482757e+06,,FP7-SSH,"Programme spécifique ""Coopération"": Sciences socio-économiques et humaines",Sciences socio-économiques et humaines
FP7-COH,2014,8,1.8096413e+07,2.262051625e+06,2.591389840809895e+06,426900,7.072114e+06,1.4337079e+07,1.792134875e+06,1.916160211072357e+06,389915,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-COH,2013,8,1.7815485e+07,2.226935625e+06,2.616561077377468e+06,217572,7.072114e+06,1.4067488e+07,1.758436e+06,1.9408802069112225e+06,200000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-SECURITY,2018,8,1.62947404e+08,2.03684255e+07,1.5971912111705983e+07,5.554326e+06,4.8354957e+07,1.13421199e+08,1.4177649875e+07,1.0199652130855475e+07,4.997588e+06,3.3468209e+07,,FP7-SECURITY,"Programme spécifique ""Coopération"": Sécurité",Sécurité
FP7-SPACE,2018,8,3.2079699e+07,4.009962375e+06,1.7639269627437766e+06,2.609191e+06,7.072124e+06,2.378122e+07,2.9726525e+06,1.1835065697695767e+06,1.991902e+06,4.999727e+06,,FP7-SPACE,"Programme spécifique ""Coopération"": Espace",Espace
FP7-INCO,2017,8,5.0218381e+07,6.277297625e+06,9.476388458640678e+06,1.056708e+06,3.1154999e+07,2.0162621e+07,2.520327625e+06,1.1080397656033083e+06,917525,3.999944e+06,,FP7-INCO,"Programme spécifique ""Capacités"": Coopération internationale",Coopération internationale
